Brain Region,%presyn,total presyn,%postsyn,total postsyn
AB(L),92.3076923076923,572,60.36208732694356,4695
AB(R),98.6100950987564,2734,67.11037699183832,20584
AL(L),92.38882011237025,168016,61.60935550037237,786874
AL(R),93.99150111675087,501007,65.35637785756914,2360879
AL-DC3(R),Infinity,,Infinity,
AME(R),94.30934656741108,6045,51.13347072372408,32996
AMMC,93.04816288563899,77404,50.05230516326683,374724
AOT(R),83.76543209876543,1620,76.187648456057,5052
AOTU(R),95.76469825770423,92579,41.45628879986122,616787
ATL(L),94.39491350832948,28153,31.789552564430913,210846
ATL(R),92.35631281407035,25472,32.714622278001634,181668
AVLP(R),93.4480177371214,630542,25.95070527710415,4988323
BU(L),84.88736812090106,7014,32.581505554548514,38617
BU(R),98.76345805351242,9381,46.77915498054826,44212
CA(L),91.63925913103687,5777,57.056250692060686,36124
CA(R),95.15658040479306,69517,76.4703320536634,459233
CAN(R),81.57531091662828,6513,19.50225548492926,39016
"CRE(-ROB,-RUB)(R)",94.18088303455288,133766,42.75449994178601,1073625
CRE(L),93.1041088752318,130498,30.369526140809384,1068693
CRE(R),94.33618952343672,137946,43.08035204962209,1095641
CX,94.21935259598439,701911,70.39318270237463,3960983
EB,97.4215697016179,164286,84.43106549107338,729504
EBr1,97.14682294879704,12968,78.7768430873877,66451
EBr2r4,97.94455235740773,56630,88.73282751643904,247125
EBr3am,98.74373922325313,12179,93.91738068628669,48318
EBr3d,98.81030701754386,18240,91.25971629103744,74231
EBr3pw,98.46605382655886,18058,83.7780680475213,80385
EBr5,98.08263761143343,14134,93.31710969674279,48078
EBr6,94.43838264176824,32077,72.13793688908294,164916
EPA(L),87.78620223706929,13321,20.047328902699295,90431
EPA(R),92.21349279557238,31439,27.42106612673628,226202
FB,92.7401117417524,451040,67.39857747694606,2634474
FB-column3,Infinity,,Infinity,
FBl1,92.78769881625514,24583,59.150326797385624,160344
FBl2,92.75619278176518,58657,62.85803979302431,369512
FBl3,92.72731240044513,45829,63.684143646798866,283306
FBl4,94.48446182342045,77744,69.63630202127311,457385
FBl5,93.23596041492786,83870,67.22183031950586,523089
FBl6,92.20983319573888,100537,72.59732680570303,493492
FBl7,91.62807267545422,39298,69.99117308373025,223181
FBl8,88.85215794306703,16335,67.09507217521154,100450
FBl9,88.39264389777884,4187,67.73350200295172,23715
FLA(R),85.87034641368406,6957,18.794567490614057,39687
GA(R),99.43390885932635,3533,69.90379476215928,18710
GC,88.14402810304449,3416,49.802405498281786,11640
GF(R),89.80537534754403,1079,57.43924125666864,3374
GNG,92.40595421082438,123610,32.94302399531961,844373
GOR(L),89.40586972083035,19558,23.91195875145534,144296
GOR(R),89.26308032424465,27140,29.364335369707184,189880
IB,93.87319341272257,200447,30.194721430322108,1550420
ICL(L),88.06885667333756,61461,19.346638885842747,455950
ICL(R),91.72549987657369,202550,25.20352475028685,1538265
INP,92.6798525593872,996469,28.851541401702534,7845716
IPS(R),93.93824385212001,102759,34.53271559599529,712061
LAL(-GA)(R),96.17741970415611,230865,38.0576810228452,1729685
LAL(L),91.14956830637425,105283,22.789308744497934,785614
LAL(R),96.22650363910955,234398,38.39847402903806,1748395
LH(R),90.51310717538536,231667,20.246345335619484,1968375
LO(R),89.4185517637306,855261,25.82912847577151,5895166
LOP(R),87.83696051034522,70854,31.523974191783765,409482
LX(L),90.75843522088746,112297,23.248094284247983,824231
LX(R),96.32412964201183,243779,38.605171127860146,1792607
MB(+ACA)(R),95.14004539443417,589059,83.56330419304587,2452847
MB(L),93.23527404938055,307773,82.58613744523569,1243739
MB(R),95.19621156725513,574380,86.10314511710725,2336320
