Brain Region,%presyn,total presyn,%postsyn,total postsyn
AB(L),92.3076923076923,572,61.713920272862936,4691
AB(R),98.6100950987564,2734,67.59988334791484,20574
AL(L),92.52392629273403,168016,61.80555732180327,786350
AL(R),94.07509720481274,501004,65.54187853711733,2360326
AL-D(L),94.47947896205933,9673,69.36019844612936,42732
AL-D(R),95.61671763506627,8829,74.2013275986376,40223
AL-DA1(R),94.60092646823918,18781,69.44067367646043,86926
AL-DA2(L),96.47610121836927,5335,69.30689329556185,26475
AL-DA2(R),88.00095419847328,4192,56.653267367553084,19404
AL-DA3(L),92.65785609397945,2724,59.983484723369116,12110
AL-DA3(R),94.47236180904522,2388,63.32155477031802,11320
AL-DA4l(R),81.19205298013244,755,58.294470353097935,3002
AL-DA4m(L),94.14437152953053,1981,63.8320027768136,8643
AL-DA4m(R),88.92508143322475,921,56.30309988518943,4355
AL-DC1(L),92.04647811205187,11102,63.71879030550369,51947
AL-DC1(R),96.30963887180388,11381,74.09480878289952,55016
AL-DC2(L),93.96561411394538,8899,64.75601139113118,46703
AL-DC2(R),93.20082414252818,8251,67.67051845792004,39116
AL-DC3(R),93.80724810832338,10044,65.254324866172,48383
AL-DC4(L),94.05618531296204,10145,59.25057219059149,52867
AL-DC4(R),94.64736104624008,10705,62.26858222784904,54501
AL-DL1(R),95.6638836520334,11139,71.34747412644738,48795
AL-DL2d(R),96.99579027937237,5226,73.31692307692308,24375
AL-DL2v(R),93.9263558134881,9994,63.72353781548985,46198
AL-DL3(R),91.99522102747909,5859,71.3574097135741,21681
AL-DL4(L),90.76543209876543,2025,64.61556631628676,8467
AL-DL4(R),95.92898683807775,3267,76.69940156513734,13034
AL-DL5(L),93.28830123598735,6958,60.79091696334071,31179
AL-DL5(R),95.72176514584892,6685,72.63490553214625,29428
AL-DM1(L),94.180407371484,14434,66.78777548518285,66882
AL-DM1(R),91.98372679349072,17452,70.48691978551697,73852
AL-DM2(L),91.16300366300366,10920,61.072101387223846,46712
AL-DM2(R),91.94368400469301,7671,73.60791939190383,33942
AL-DM3(L),95.62043795620438,4795,68.72517495744277,21148
AL-DM3(R),96.62735361059383,4833,75.96216405585307,19981
AL-DM4(L),92.24169741697416,10840,56.065841433778864,52672
AL-DM4(R),93.14053321283325,11065,67.39148391360014,48426
AL-DM5(L),92.32423134809719,4651,64.0076022190261,19468
AL-DM5(R),88.671875,1536,68.87343972191499,6329
AL-DM6(L),96.02441696666145,6389,73.60836807841416,27342
AL-DM6(R),91.34255257850764,6942,75.35025662366486,28836
AL-DP1l(R),95.85495675316035,15030,62.96767478170358,69172
AL-DP1m(L),92.29828138654239,17165,59.16263852502368,81303
AL-DP1m(R),95.19958926967014,23373,65.5077759377925,111112
AL-V(R),98.29920166608817,14405,74.45078459343794,70100
AL-VA1d(R),95.67567567567568,11655,70.1756017708992,53758
AL-VA1v(R),95.40238129393201,13942,69.61268607980709,59719
AL-VA2(R),93.53331464349127,10701,72.60394838425059,45335
AL-VA3(R),94.77165754993003,7861,67.80026310633414,35727
AL-VA4(R),95.24735364009506,4629,71.73549773215565,20945
AL-VA5(R),96.15454053078173,5539,72.17219824378628,26876
AL-VA6(L),93.94268774703556,10120,66.18988435044554,47471
AL-VA6(R),95.85878548329141,11132,72.57820721324022,52265
AL-VA7l(R),97.09013484740952,2818,71.70386168024983,13129
AL-VA7m(R),92.00803212851406,4980,69.13522817137276,21497
AL-VC1(R),96.53567735263702,7736,71.5536692811862,37228
AL-VC2(R),96.09763227126571,6842,72.65399052366008,32502
AL-VC3l(R),91.90115252829405,9631,62.325824562998655,43993
AL-VC3m(R),91.64201183431953,4056,63.36022524229791,18469
AL-VC4(R),92.461846770464,6487,64.41792820784028,30254
AL-VC5(R),91.9836956521739,21344,54.25825779091935,102812
AL-VL1(R),94.70175920835624,14552,60.849497380716414,70630
AL-VL2a(R),95.28551423681344,12854,67.25519613583138,54656
AL-VL2p(R),94.70067196090409,13096,62.50199712414124,62590
AL-VM1(R),91.25544267053701,2756,67.81740120914746,11413
AL-VM2(R),82.35294117647058,51,49.743589743589745,195
AL-VM3(R),89.7117296222664,2012,60.70358450782377,9011
AL-VM4(R),92.07664422578975,5793,61.455082936442764,24356
AL-VM5d(R),94.66507177033493,8360,75.68084214936628,38188
AL-VM5v(R),90.39111540318686,6213,66.80148170547324,26456
AL-VM7d(L),88.31018518518519,5184,53.43649096322388,23847
AL-VM7d(R),92.13063763608088,6430,64.06064209274673,30276
AL-VM7v(L),92.36732259988074,3354,57.184430702073485,16494
AL-VM7v(R),89.48832035595106,5394,60.61473369835739,24108
AL-VP1d(R),92.77949839072083,16467,62.07198665402479,83321
AL-VP1l(R),93.51011863224005,4299,59.45251195093353,22174
AL-VP1m(R),97.92025243832472,6972,73.08943089430893,39360
AL-VP2(R),90.95688748685595,9510,51.77925675155806,51988
