,from_roi,to_roi,count,weight
25,AB(R),AB(R),112,10.591787555005196
26,AB(R),AL(R),1,0.05970624612426764
27,AB(R),AME(R),1,-4.564784618783526
28,AB(R),AOTU(R),1,-5.142957953842043
30,AB(R),ATL(R),1,-10.221587121264806
32,AB(R),BU(R),3,-7.22655349651901
33,AB(R),CA(R),1,-2.5647846187835257
35,AB(R),CRE(R),11,-0.014807143719029301
36,AB(R),EB,18,1.8074045004352794
37,AB(R),EPA(R),1,-11.647908074281807
38,AB(R),FB,154,10.121591395117447
39,AB(R),GNG,2,-4.018980130841256
41,AB(R),GOR(R),1,-10.647908074281807
42,AB(R),IB,1,-6.149747119504682
44,AB(R),ICL(R),8,2.632932870357907
45,AB(R),IPS(R),2,-1.8475772303861964
47,AB(R),LAL(R),18,1.1862631532915495
48,AB(R),LH(R),1,-1.3084448655237404
49,AB(R),ME(R),1,-6.149747119504682
50,AB(R),NO,12,4.557479718664999
51,AB(R),PB,4,-2.7186738389082845
52,AB(R),PED(R),1,-11.647908074281807
53,AB(R),SAD,1,-7.940708879270141
54,AB(R),SCL(R),2,-6.530712443717716
56,AB(R),SIP(R),25,3.2496186341861777
57,AB(R),SLP(R),25,5.5098174802195725
59,AB(R),SMP(R),39,5.4117139933832785
61,AB(R),SPS(R),3,-4.842399276109666
63,AB(R),VES(R),4,-0.8809148974696429
64,AB(R),WED(R),3,-2.313337895373146
65,AB(R),a'L(R),1,-7.734709620225838
66,AB(R),aL(R),1,-3.0908534304511135
67,AB(R),gL(R),2,-9.546877558566983
118,AL(R),AB(R),1,-0.10535300014622866
120,AL(R),AL(R),7700,18.718664022509362
121,AL(R),AME(R),2,1.8280218939121056
122,AL(R),AOTU(R),8,-0.017748484531294184
124,AL(R),ATL(R),30,6.6539769926763235
125,AL(R),AVLP(R),147,10.227529945238292
127,AL(R),BU(R),5,0.9368354581078854
128,AL(R),CA(R),144,14.519747003976667
129,AL(R),CAN(R),4,3.661054300757593
131,AL(R),CRE(R),54,8.925357570593878
132,AL(R),EB,3,3.09566867644478
134,AL(R),EPA(R),31,0.9156201555666396
135,AL(R),FB,5,4.618849327119441
136,AL(R),FLA(R),28,5.210450134850746
137,AL(R),GNG,144,7.22452557388554
139,AL(R),GOR(R),18,2.169802343169461
140,AL(R),IB,64,6.32976411238569
142,AL(R),ICL(R),100,7.558816163680347
143,AL(R),IPS(R),30,3.8773287076509675
145,AL(R),LAL(R),191,8.834234183786728
146,AL(R),LH(R),344,16.076569986062072
147,AL(R),LO(R),9,2.934798290789947
148,AL(R),ME(R),4,1.377395540768345
149,AL(R),NO,4,-0.39795975456678695
150,AL(R),PB,5,2.5590197362970435
151,AL(R),PED(R),12,3.134866555315367
152,AL(R),PLP(R),219,12.966831062200553
153,AL(R),PRW,4,4.616381074840428
154,AL(R),PVLP(R),76,7.090713184829868
155,AL(R),SAD,266,9.662629993246844
157,AL(R),SCL(R),223,12.513583785309024
159,AL(R),SIP(R),88,11.711129943352008
160,AL(R),SLP(R),245,13.04937357993478
162,AL(R),SMP(R),109,11.005397188117573
164,AL(R),SPS(R),97,7.5036586562968814
166,AL(R),VES(R),308,10.508727183398204
167,AL(R),WED(R),133,11.5175981108875
168,AL(R),a'L(R),6,1.6079158046032658
