,from_roi,to_roi,count,weight
0,AB(L),AB(L),59,96.33315212292284
1,AB(L),AB(R),23,72.53816899168608
2,AB(L),BU(L),13,3.1078382623578857
3,AB(L),BU(R),2,0.01819166207977994
4,AB(L),CRE(L),6,0.06690157909480984
5,AB(L),CRE(R),8,0.10673949573087285
6,AB(L),EB,9,0.8115100767712784
7,AB(L),FB,90,455.9268119449765
8,AB(L),ICL(L),3,0.5176899264492568
9,AB(L),LAL(L),2,0.011098781740789666
10,AB(L),LAL(R),8,0.20713365547515614
11,AB(L),NO,8,0.6601454733352892
12,AB(L),PB,1,0.0007423904974016332
13,AB(L),SAD,1,0.00031308703819661864
14,AB(L),SIP(L),8,0.6924929914997409
15,AB(L),SIP(R),14,0.9551114961610468
16,AB(L),SLP(R),19,14.835990880844843
17,AB(L),SMP(L),21,14.953812787959608
18,AB(L),SMP(R),25,30.109928238056277
19,AB(L),VES(R),2,0.0033255349253402513
20,AB(L),WED(R),1,0.000683526999316473
21,AB(L),b'L(L),1,0.00045351473922902497
22,AB(L),b'L(R),1,0.0013605442176870747
23,AB(L),gL(R),1,0.0003417634996582365
24,AB(R),AB(L),32,106.57697517451676
25,AB(R),AB(R),112,1543.283673415318
26,AB(R),AL(R),1,1.0422535211267605
27,AB(R),AME(R),1,0.04225352112676056
28,AB(R),AOTU(R),1,0.02830188679245283
29,AB(R),ATL(L),1,0.016713091922005572
30,AB(R),ATL(R),1,0.0008375209380234506
31,AB(R),BU(L),10,4.294628267034414
32,AB(R),BU(R),3,0.006677142307273304
33,AB(R),CA(R),1,0.16901408450704225
34,AB(R),CRE(L),4,0.1718236469680155
35,AB(R),CRE(R),11,0.9897889603701832
36,AB(R),EB,18,3.500120279961164
37,AB(R),EPA(R),1,0.0003116235587410408
38,AB(R),FB,154,1114.0446921459807
39,AB(R),GNG,2,0.061683133627636465
40,AB(R),GOR(L),1,0.0003116235587410408
41,AB(R),GOR(R),1,0.0006232471174820816
42,AB(R),IB,1,0.014084507042253521
43,AB(R),ICL(L),4,0.10069857441837603
44,AB(R),ICL(R),8,6.20285702064445
45,AB(R),IPS(R),2,0.27785859435218274
46,AB(R),LAL(L),4,1.1526853724862884
47,AB(R),LAL(R),18,2.2756255009985304
48,AB(R),LH(R),1,0.40375586854460094
49,AB(R),ME(R),1,0.014084507042253521
50,AB(R),NO,12,23.547136423212514
51,AB(R),PB,4,0.1519139394512613
52,AB(R),PED(R),1,0.0003116235587410408
53,AB(R),SAD,1,0.004070131496556042
54,AB(R),SCL(R),2,0.01081582523941331
55,AB(R),SIP(L),14,4.717420038309175
56,AB(R),SIP(R),25,9.511142387212434
57,AB(R),SLP(R),25,45.56384147293318
58,AB(R),SMP(L),43,159.11382975106963
59,AB(R),SMP(R),39,42.568489501456185
60,AB(R),SPS(L),1,0.014084507042253521
61,AB(R),SPS(R),3,0.03485720550814893
62,AB(R),VES(L),1,0.0037174721189591076
63,AB(R),VES(R),4,0.5430229593691244
64,AB(R),WED(R),3,0.20119440689805315
65,AB(R),a'L(R),1,0.004694835680751174
66,AB(R),aL(R),1,0.11737089201877934
67,AB(R),gL(R),2,0.0013369140577157504
68,AL(L),AL(L),6079,131443.87055402223
69,AL(L),AL(R),1050,23812.58342885945
70,AL(L),AOTU(R),3,0.1345864216420184
71,AL(L),ATL(L),12,24.5835747714748
72,AL(L),ATL(R),2,0.13060215013367896
73,AL(L),AVLP(R),9,3.2191766874201497
74,AL(L),CA(L),25,313.3802501941664
75,AL(L),CA(R),2,7.06559581209533
76,AL(L),CAN(R),1,0.011764705882352941
77,AL(L),CRE(L),21,3.238315588187812
78,AL(L),CRE(R),14,12.954750043659457
79,AL(L),EB,1,9.466321243523316
80,AL(L),EPA(L),2,2.5682210708117443
81,AL(L),EPA(R),1,0.02588235294117647
82,AL(L),FB,3,14.637459561144176
83,AL(L),FLA(R),3,0.5471835231110554
84,AL(L),GNG,4,0.2896384439616975
85,AL(L),GOR(L),5,1.1523387031950896
86,AL(L),GOR(R),4,1.7924326818151537
87,AL(L),IB,5,1.0236182112293686
88,AL(L),ICL(L),2,0.07468550468686319
89,AL(L),ICL(R),5,1.4996141810224715
90,AL(L),LAL(L),37,15.710077177426607
91,AL(L),LAL(R),57,19.203425775238568
92,AL(L),LH(R),6,13.572871203987376
93,AL(L),LO(R),3,0.7484366202292273
94,AL(L),ME(R),1,0.12154696132596685
95,AL(L),NO,1,12.621761658031089
96,AL(L),PB,2,14.943586629281718
97,AL(L),PLP(R),14,31.751929085677272
98,AL(L),PVLP(R),7,4.565758347163855
99,AL(L),SAD,14,8.919257946203244
100,AL(L),SCL(L),2,0.23163855068211822
101,AL(L),SCL(R),9,6.207120239177022
102,AL(L),SIP(L),5,0.7017055601766222
103,AL(L),SIP(R),14,24.867937630117655
