Roi,count,mean,std,min,25%,50%,75%,max
AB(R),177.0,921.7344632768362,1191.5308967682126,135.0,300.0,410.0,1048.0,6501.0
AL(R),725.0,2455.535172413793,5676.205269138334,33.0,396.0,1129.0,2547.0,127148.0
AME(R),118.0,994.0084745762712,1475.2338971192396,43.0,142.5,430.0,1229.25,7520.0
AOTU(R),1712.0,692.5344626168225,1467.538571478299,6.0,73.75,269.0,641.0,21254.0
ATL(R),980.0,1658.4061224489797,4438.75084600319,43.0,424.75,914.0,1905.75,127148.0
AVLP(R),4130.0,1111.725665859564,2862.0061499360195,25.0,358.0,581.5,1073.0,127148.0
BU(R),326.0,1668.3098159509202,2148.270207692039,142.0,576.25,1017.5,1836.25,16263.0
CA(R),2288.0,886.3024475524476,2816.1574620757983,126.0,540.0,630.0,755.0,127148.0
CAN(R),306.0,1607.1928104575163,2231.645838010323,42.0,379.75,673.0,2226.5,21380.0
CRE(R),2789.0,1679.359985657942,3712.3254008561275,92.0,596.0,820.0,1578.0,127148.0
EB,340.0,2102.9470588235295,2132.8204428495033,157.0,993.0,1473.0,2233.5,19554.0
EPA(R),1334.0,1766.4865067466267,2397.0159823930676,37.0,450.25,869.5,2231.75,28662.0
FB,1451.0,1263.7015851137146,1425.8577807366137,87.0,416.5,821.0,1612.0,19307.0
FLA(R),123.0,2635.3739837398375,4140.781399288624,65.0,492.5,765.0,3120.5,21380.0
GNG,1080.0,1277.4444444444443,1746.698540436975,28.0,315.75,588.5,1484.25,15738.0
GOR(R),1087.0,1723.0055197792087,2230.5186490590195,42.0,506.5,1034.0,2128.5,28662.0
IB,2146.0,1323.3443616029822,1752.4767912122045,28.0,386.25,730.5,1547.5,21380.0
ICL(R),3471.0,1290.099971189859,3051.844059072523,28.0,402.0,688.0,1370.0,127148.0
IPS(R),1153.0,1325.8820468343451,1927.9033241826255,28.0,334.0,610.0,1521.0,28662.0
LAL(R),2586.0,1886.2645011600928,3857.217810388972,37.0,486.25,937.0,2079.5,127148.0
LH(R),2946.0,888.5885947046843,2731.5479900963205,34.0,259.0,420.0,789.75,127148.0
LO(R),3076.0,404.8036410923277,803.1920430482404,6.0,134.0,231.0,395.0,20981.0
LOP(R),132.0,719.8712121212121,1234.2303248330318,27.0,138.75,249.5,874.75,8245.0
ME(R),62.0,798.2096774193549,877.6862865567232,30.0,195.0,403.0,1166.75,4848.0
NO,362.0,1023.8038674033149,1481.5078388793297,87.0,186.5,495.5,1340.5,10082.0
PB,482.0,1222.5020746887967,1422.1881244498732,87.0,289.25,757.0,1595.75,16321.0
PED(R),2116.0,872.0637996219282,3477.5909930692856,143.0,538.0,619.0,738.0,127148.0
PLP(R),6494.0,923.100246381275,2164.89185442916,6.0,247.25,479.0,912.5,127148.0
PRW,7.0,459.14285714285717,475.94902688258145,75.0,119.0,167.0,703.5,1327.0
PVLP(R),4264.0,989.4120544090056,2488.9020160247164,8.0,277.0,507.0,985.0,127148.0
SAD,1096.0,1322.1897810218977,1829.5265846025914,33.0,366.5,684.5,1443.0,16862.0
SCL(R),5339.0,1056.0488855590934,2537.0991550514773,34.0,362.0,586.0,1026.0,127148.0
SIP(R),4204.0,1268.4838249286395,3010.6536337445523,33.0,421.0,641.0,1185.25,127148.0
SLP(R),5801.0,923.3039131184279,2247.398779401505,13.0,307.0,518.0,879.0,127148.0
SMP(R),4897.0,1324.208494996937,2911.714698826528,43.0,426.0,713.0,1328.0,127148.0
SPS(R),3043.0,1262.3867893526126,1839.1946510400978,28.0,343.0,625.0,1415.5,28662.0
VES(R),1657.0,1914.07242003621,2602.0504873490686,40.0,501.0,1030.0,2315.0,27350.0
WED(R),2495.0,1298.0112224448899,2002.2684180291906,29.0,344.0,633.0,1402.5,28662.0
a'L(R),815.0,1906.3361963190184,6061.575409460212,47.0,603.0,667.0,833.5,127148.0
aL(R),1353.0,1153.2431633407243,4602.025784558906,143.0,508.0,574.0,658.0,127148.0
b'L(R),1059.0,1767.9216241737488,5474.422430325163,208.0,623.0,707.0,1220.0,127148.0
bL(R),1170.0,1128.603418803419,4920.21085581558,220.0,499.0,564.0,640.0,127148.0
gL(R),1625.0,1652.7667692307693,4613.652578211956,97.0,649.0,757.0,1071.0,127148.0
